#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,username,total_followers,total_following,total_posts
75,MARIO TESTINO @mariotestino,6.6M,0.36%,Suurbritannia,Romantika ja pulmad Kunst ja käsitöö Korvpall,2M,mariotestino,6661364,187,2524
76,Mason Mount @masonmount,6.4M,13.71%,Suurbritannia,Sport,1.9M,masonmount,6059031,925,494
77,James Corden @j_corden,6.3M,1.29%,Suurbritannia,Näitlejad,1.9M,j_corden,6158571,313,105
78,Idris Elba @idriselba,6.3M,1.22%,Suurbritannia,,1.9M,idriselba,6737745,802,43
79,Regé-Jean Page @regejean,6.3M,6.89%,Suurbritannia,Näitlemine ja draama,1.9M,regejean,6623931,732,193
80,Séan Garnier| World Champion @seanfreestyle,6.2M,3.09%,Suurbritannia,Sport Äri ja finants Jalgpall Mäng,1.9M,seanfreestyle,6102384,3065,5762
81,Nathalie Emmanuel @nathalieemmanuel,6.2M,0.75%,Suurbritannia,Toit Ilutooted ja enesehooldus Näitlejad,1.9M,nathalieemmanuel,6089513,4673,2463
82,Kit Connor @kit.connor,6.1M,28.68%,Suurbritannia,Meelelahutus ja muusika,1.8M,kit.connor,5859600,903,47
83,Charlie Heaton @charlie.r.heaton,6.1M,5.46%,Suurbritannia,Näitlejad Muusika,1.8M,charlie.r.heaton,5533284,389,202
84,Saraya Bevis @realpaigewwe,6M,2.50%,Suurbritannia,Sport Muusika Laulja Modellindus,1.8M,,,,
85,Stacey Solomon @staceysolomon,5.9M,5.18%,Suurbritannia,Pere Meelelahutus ja muusika Lapsevanemlus Muusika,1.8M,staceysolomon,6036827,6260,1626
86,Rio Ferdinand OBE @rioferdy5,5.9M,0.75%,Suurbritannia,Meelelahutus ja muusika Jalgpall,1.8M,rioferdy5,6378456,2122,2362
87,Queen @officialqueenmusic,5.9M,0.70%,Suurbritannia,Meelelahutus ja muusika Muusika Rock Laulja,1.8M,officialqueenmusic,6146824,134,1996
88,Ozzy Osbourne @ozzyosbourne,5.8M,0.56%,Suurbritannia,Meelelahutus ja muusika Muusika,1.7M,ozzyosbourne,6202668,78,4093
89,Zakir Khan @zakirkhan_208,5.7M,4.63%,Suurbritannia,Meelelahutus ja muusika Lõbus Elu ja ühiskond Kuulsus,1.7M,zakirkhan_208,6344216,1346,638
90,Kate Beckinsale @katebeckinsale,5.6M,0.84%,Suurbritannia,Meelelahutus ja muusika Modellindus,1.7M,katebeckinsale,5629715,1329,944
91,Tommy TNT Fury @tommyfury,5.5M,3.58%,Suurbritannia,Sport,1.7M,tommyfury,5452500,850,985
92,Vicky Pattison @vickypattison,5.5M,0.30%,Suurbritannia,Meelelahutus ja muusika Romantika ja pulmad Lapsevanemlus Telejuht,1.7M,vickypattison,5522456,7400,10785
93,Catherine Zeta-Jones @catherinezetajones,5.5M,0.73%,Suurbritannia,Meelelahutus ja muusika Pere Kodu ja aed Kuulsus,1.6M,catherinezetajones,5718394,299,2013
94,Jordan Henderson @jordanhenderson,5.4M,3.73%,Suurbritannia,Sport Jalgpall,1.6M,jordanhenderson,5385819,442,982
95,Harry Maguire @harrymaguire93,5.3M,3.02%,Suurbritannia,Sport Jalgpall,1.6M,harrymaguire93,5386235,508,1171
96,Adnan Alkateb @adnanalkateb,5.3M,1.01%,Suurbritannia,Kuulsus Ajakirjanikud,1.6M,adnanalkateb,5775620,730,4842
97,Alex Oxlade-Chamberlain @alexoxchamberlain,5.2M,3.35%,Suurbritannia,Sport Jalgpall,1.6M,alexoxchamberlain,5152008,501,907
98,Luke Shaw @lukeshaw23,5.1M,3.87%,Suurbritannia,Sport Moekaubad ja aksessuaarid Jalgpall,1.5M,lukeshaw23,5196462,219,310
99,Ranjit Bawa @ranjitbawa,5.1M,0.97%,Suurbritannia,Meelelahutus ja muusika Muusika Modellindus Laulja,1.5M,ranjitbawa,5092727,0,1541
100,𝐆📀𝐋𝐃𝐄𝐍💰 @barnabaclassic,5M,0.10%,Suurbritannia,Meelelahutus ja muusika Lapsevanemlus Laulja,1.5M,barnabaclassic,5320384,1706,162
